id,romId,title,url,image,console,downloadCount,size,romType
40702,40117,Pokémon – The Pit,https://romsfun.com/roms/game-boy-advance/pokemon-the-pit.html,https://romsfun.com/wp-content/uploads/2025/06/Pokemon-The-Pit-300x300.webp,Pokémon – The Pit,570,17.6 M,
40757,40127,Fire Emblem: Order of the Crimson Arm,https://romsfun.com/roms/game-boy-advance/fire-emblem-order-of-the-crimson-arm.html,https://romsfun.com/wp-content/uploads/2023/08/Fire-Emblem-Order-of-the-Crimson-Arm-300x299.jpg,Fire Emblem: Order of the Crimson Arm,117,1.8 M,
40758,40127,Fire Emblem – 7 Siblings,https://romsfun.com/roms/game-boy-advance/fire-emblem-7-siblings.html,https://romsfun.com/wp-content/uploads/2025/10/Fire-Emblem-7-Siblings-300x201.png,Fire Emblem – 7 Siblings,136,14.45 M,
40759,40127,Fire Emblem The Morrow’s Golden Country,https://romsfun.com/roms/game-boy-advance/fire-emblem-the-morrows-golden-country.html,https://romsfun.com/wp-content/uploads/2025/10/Fire-Emblem-The-Morrows-Golden-Country-300x200.jpg,Fire Emblem The Morrow’s Golden Country,87,30.08 M,
40760,40127,Mega Man: Battle Chip Challenge,https://romsfun.com/roms/game-boy-advance/mega-man-battle-chip-challenge-2.html,https://romsfun.com/wp-content/uploads/2025/10/Mega-Man-Battle-Chip-Challenge-300x300.jpg,Mega Man: Battle Chip Challenge,75,2.41 M,
40761,40127,Fire Emblem Flames of Redemption,https://romsfun.com/roms/game-boy-advance/fire-emblem-flames-of-redemption.html,https://romsfun.com/wp-content/uploads/2025/10/Fire-Emblem-Flames-of-Redemption.png,Fire Emblem Flames of Redemption,67,44.2 M,
40762,40127,Pokémon – The Pit,https://romsfun.com/roms/game-boy-advance/pokemon-the-pit.html,https://romsfun.com/wp-content/uploads/2025/06/Pokemon-The-Pit-300x300.webp,Pokémon – The Pit,570,17.6 M,
41039,40174,Fire Emblem: Order of the Crimson Arm,https://romsfun.com/roms/game-boy-advance/fire-emblem-order-of-the-crimson-arm.html,https://romsfun.com/wp-content/uploads/2023/08/Fire-Emblem-Order-of-the-Crimson-Arm-300x299.jpg,Fire Emblem: Order of the Crimson Arm,117,1.8 M,
41040,40174,Fire Emblem – 7 Siblings,https://romsfun.com/roms/game-boy-advance/fire-emblem-7-siblings.html,https://romsfun.com/wp-content/uploads/2025/10/Fire-Emblem-7-Siblings-300x201.png,Fire Emblem – 7 Siblings,136,14.45 M,
41041,40174,Fire Emblem The Morrow’s Golden Country,https://romsfun.com/roms/game-boy-advance/fire-emblem-the-morrows-golden-country.html,https://romsfun.com/wp-content/uploads/2025/10/Fire-Emblem-The-Morrows-Golden-Country-300x200.jpg,Fire Emblem The Morrow’s Golden Country,87,30.08 M,
